body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,script_javaScript,script_noOnClickEvents,script_nonModalJsLoads,script_popups,script_scripts,script_statusChange,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_debit,subj_forward,subj_noCharacters,subj_noWords,subj_reply,subj_richness,subj_verify,url_atSymbol,url_ipAddress,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
True,True,15784,747,1,1638,0.10377597567156614,False,False,False,0,False,False,False,False,False,18,1,True,False,False,False,16,3,False,0.1875,False,True,False,True,4,8,52,44,2,0,54,0,True,False,S
False,False,787,95,3,116,0.1473951715374841,False,False,False,0,False,False,False,False,False,43,3,True,False,False,False,51,8,False,0.1568627450980392,False,True,True,False,5,4,3,0,0,1,3,1,False,True,S
False,False,16549,1299,12,3454,0.20871351743307753,False,False,False,0,False,False,False,False,False,26,1,False,False,False,False,43,11,False,0.2558139534883721,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,598,79,1,109,0.18227424749163879,False,False,False,0,False,False,False,False,False,14,1,True,False,False,False,18,3,False,0.16666666666666666,False,False,False,False,3,2,2,0,0,0,2,2,False,True,S
True,True,6004,287,6,686,0.11425716189207195,False,False,False,0,False,False,False,False,False,36,5,True,False,False,False,22,4,False,0.18181818181818182,False,False,True,False,4,5,16,9,2,1,18,0,False,False,S
False,True,11509,350,3,647,0.056216873750977496,False,False,False,0,False,False,False,False,True,37,3,True,False,False,False,18,3,False,0.16666666666666666,False,False,False,False,2,4,2,0,0,0,2,0,False,False,S
False,True,685,56,1,60,0.08759124087591241,False,False,False,0,False,False,False,False,False,33,1,True,False,False,False,39,8,False,0.20512820512820512,False,False,True,True,4,4,3,1,2,1,5,0,True,False,S
False,False,902,99,2,130,0.14412416851441243,False,False,False,0,False,False,False,False,False,23,1,True,False,False,False,68,13,False,0.19117647058823528,False,False,False,False,2,2,2,0,0,0,2,0,False,False,S
False,False,2260,254,5,460,0.20353982300884957,False,False,False,0,False,False,False,False,False,36,3,True,False,False,False,30,2,False,0.06666666666666667,False,False,False,False,3,3,1,0,1,0,2,0,False,False,S
False,True,23930,1313,23,3101,0.12958629335562055,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,14,3,True,0.21428571428571427,False,False,False,False,2,2,1,0,2,0,3,0,False,False,S
False,True,3427,187,5,393,0.11467756054858477,False,False,False,0,False,False,False,False,False,39,3,True,False,False,False,13,1,False,0.07692307692307693,False,False,False,True,5,4,16,4,0,0,16,0,True,False,S
False,True,4232,256,5,457,0.10798676748582231,False,False,False,0,False,False,False,False,False,38,3,True,False,False,False,26,4,False,0.15384615384615385,False,False,True,True,4,3,4,0,4,1,8,0,True,False,S
False,True,571,35,2,39,0.06830122591943957,False,False,False,0,False,False,False,False,False,56,4,True,False,False,False,21,5,False,0.23809523809523808,False,False,False,True,3,3,4,1,0,0,4,4,False,True,S
False,True,737,87,7,110,0.14925373134328357,False,False,False,0,False,False,False,False,True,42,2,True,False,False,False,49,8,False,0.16326530612244897,False,True,False,True,2,3,1,0,2,0,3,0,True,False,S
False,False,2175,258,9,402,0.18482758620689654,False,False,False,0,False,False,False,False,True,38,4,True,False,False,False,14,2,False,0.14285714285714285,False,False,False,False,2,3,1,0,0,0,1,0,False,False,S
False,False,3238,363,1,594,0.18344657195799877,False,False,False,0,False,False,False,False,False,22,1,False,False,False,False,11,3,False,0.2727272727272727,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,False,14940,1243,5,2963,0.19832663989290494,False,False,False,0,False,False,False,False,False,42,1,True,False,False,False,73,12,False,0.1643835616438356,False,False,False,False,2,2,0,0,2,0,2,0,False,False,S
False,True,4372,311,2,444,0.10155535224153706,False,False,False,0,False,False,False,False,False,19,1,True,False,False,False,39,9,False,0.23076923076923078,False,False,True,True,3,3,2,0,2,1,4,0,True,False,S
False,True,3421,237,4,339,0.09909383221280327,False,False,False,0,False,False,False,False,False,48,3,True,False,False,False,45,7,False,0.15555555555555556,False,True,False,True,4,6,17,6,6,0,23,0,False,False,S
False,False,1588,192,8,273,0.17191435768261965,False,False,False,0,False,False,False,False,False,30,3,True,False,False,False,38,4,False,0.10526315789473684,False,False,False,False,4,3,3,0,0,0,3,0,False,False,S
True,True,6103,247,2,581,0.09519908241848271,False,False,False,0,False,False,False,False,False,70,4,True,False,False,False,48,7,False,0.14583333333333334,False,True,False,True,4,4,3,0,0,0,3,0,False,False,S
False,False,1855,239,8,382,0.2059299191374663,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,24,5,False,0.20833333333333334,False,False,False,False,2,3,1,0,0,0,1,0,False,False,S
False,True,1133,122,0,151,0.13327449249779347,False,False,False,0,False,False,False,False,False,25,1,True,False,False,False,24,6,False,0.25,False,False,False,True,3,3,3,0,3,0,6,0,True,False,S
False,False,481,27,1,33,0.06860706860706861,False,False,False,0,False,False,False,False,False,18,1,True,False,False,False,4,1,False,0.25,False,False,False,False,3,4,3,0,0,0,3,0,False,False,S
False,True,5952,291,0,444,0.07459677419354839,False,False,False,0,True,True,True,False,False,15,1,True,False,False,False,4,1,False,0.25,False,True,False,False,3,11,25,8,4,0,29,0,False,False,S
True,True,14228,609,2,879,0.06177958954174866,False,False,False,0,False,False,False,False,False,52,3,True,False,False,False,17,2,False,0.11764705882352941,False,False,True,False,4,3,10,2,1,1,11,0,False,False,S
False,False,348,24,0,25,0.07183908045977011,False,False,False,0,False,False,False,False,True,77,1,True,False,False,False,36,1,False,0.027777777777777776,False,False,False,False,2,3,1,0,2,0,3,0,False,False,S
False,False,895,98,0,154,0.17206703910614526,False,False,False,0,False,False,False,False,False,35,2,False,False,False,False,32,6,False,0.1875,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,3254,364,0,603,0.18531038721573448,False,False,False,0,False,False,False,False,False,28,1,True,False,False,False,37,5,False,0.13513513513513514,False,False,False,False,1,2,0,0,1,0,1,0,False,False,S
False,True,1938,156,3,191,0.09855521155830753,False,False,False,0,False,False,False,False,False,42,3,True,False,False,False,50,8,False,0.16,False,True,True,True,5,6,4,0,0,1,4,3,False,True,S
False,True,49,4,0,4,0.08163265306122448,False,False,False,0,False,False,False,False,False,25,1,False,False,False,False,4,1,False,0.25,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,13273,1119,7,2796,0.2106532057560461,False,False,False,0,False,False,False,False,False,37,3,False,False,False,False,61,15,False,0.2459016393442623,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
True,True,7049,357,4,747,0.10597247836572564,False,False,False,0,False,False,False,False,False,22,4,True,False,False,False,34,8,False,0.23529411764705882,False,False,True,True,4,10,19,8,4,1,23,0,False,False,S
False,True,6067,442,5,849,0.13993736607878687,False,False,False,0,False,False,False,False,False,19,1,True,False,False,False,26,7,False,0.2692307692307692,False,False,True,True,4,3,4,0,4,1,8,0,False,False,S
False,False,2622,310,2,574,0.21891685736079328,False,False,False,0,False,False,False,False,False,25,1,True,False,False,False,71,14,False,0.19718309859154928,False,False,False,False,2,3,4,0,3,0,7,0,False,False,S
False,False,958,109,3,158,0.1649269311064718,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,24,5,False,0.20833333333333334,False,False,False,False,3,3,3,0,0,0,3,0,False,False,S
False,True,9921,363,4,638,0.06430803346436852,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,18,3,False,0.16666666666666666,False,False,False,False,5,3,3,3,0,0,3,0,False,False,S
False,False,1520,25,0,26,0.017105263157894738,False,False,False,0,False,False,False,False,False,23,1,False,False,False,False,32,7,False,0.21875,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,False,1095,130,2,220,0.2009132420091324,False,False,False,0,False,False,False,False,False,25,1,False,False,False,False,16,4,False,0.25,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,True,2849,228,8,360,0.12636012636012636,False,False,False,0,False,False,False,False,False,24,2,True,False,False,False,10,2,False,0.2,False,False,True,True,3,3,1,4,6,1,7,0,False,False,S
False,False,1853,212,4,334,0.1802482460874258,False,False,False,0,False,False,False,False,False,41,4,True,False,False,False,28,3,False,0.10714285714285714,False,False,False,False,3,2,1,0,3,0,4,0,False,False,S
False,True,2818,230,3,334,0.1185237757274663,False,False,False,0,False,False,False,False,True,18,1,True,False,False,False,11,2,False,0.18181818181818182,False,False,True,True,4,4,4,0,2,1,6,0,False,False,S
False,False,3234,350,0,543,0.1679035250463822,False,False,False,0,False,False,False,False,True,52,3,True,False,False,False,31,5,False,0.16129032258064516,False,False,False,False,2,2,1,0,1,0,2,0,False,False,S
False,True,1008,103,0,125,0.12400793650793651,False,False,False,0,False,False,False,False,False,27,1,True,False,False,False,26,4,False,0.15384615384615385,False,False,False,True,3,2,2,0,0,0,2,0,True,False,S
False,False,414,62,1,66,0.15942028985507245,False,False,False,0,False,False,False,False,False,27,1,True,False,False,False,40,7,False,0.175,False,False,False,False,2,2,2,0,0,0,2,0,False,False,S
False,False,2612,44,0,44,0.016845329249617153,False,False,False,0,False,False,False,False,False,26,1,False,False,False,False,35,6,False,0.17142857142857143,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,False,1057,129,4,161,0.152317880794702,False,False,False,0,False,False,False,False,False,23,1,True,False,False,False,43,9,False,0.20930232558139536,False,False,False,False,3,5,4,0,0,0,4,0,False,False,S
True,True,5183,283,2,585,0.11286899479066177,False,False,False,0,False,False,False,False,False,33,5,True,False,False,False,26,6,False,0.23076923076923078,False,False,True,False,4,6,13,6,2,1,15,0,False,False,S
False,False,648,83,2,103,0.15895061728395063,False,False,False,0,False,False,False,False,False,39,3,True,False,False,False,29,4,False,0.13793103448275862,False,True,True,False,5,4,2,0,0,1,2,1,False,True,S
False,False,13245,1113,7,2787,0.21041902604756513,False,False,False,0,False,False,False,False,False,62,2,False,False,False,False,34,8,False,0.23529411764705882,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,55,8,0,8,0.14545454545454545,False,False,False,0,False,False,False,False,False,37,4,True,False,False,False,24,5,False,0.20833333333333334,False,False,False,False,2,3,1,0,3,0,4,0,False,False,S
False,False,884,106,6,133,0.1504524886877828,False,False,False,0,False,False,False,False,False,25,2,True,False,False,False,24,4,False,0.16666666666666666,False,False,False,False,2,3,2,0,0,0,2,0,False,False,S
False,True,1631,111,2,158,0.09687308399754752,False,False,False,0,False,False,False,False,False,25,1,True,False,False,False,30,7,False,0.23333333333333334,False,False,False,True,2,4,3,0,4,0,7,0,True,False,S
False,False,1123,123,4,175,0.1558325912733749,False,False,False,0,False,False,False,False,False,29,1,True,False,False,False,50,10,False,0.2,False,False,False,False,3,4,4,0,0,0,4,0,False,False,S
False,False,1825,234,7,345,0.18904109589041096,False,False,False,0,False,False,False,False,False,19,1,True,False,False,False,49,9,True,0.1836734693877551,False,False,True,False,4,2,2,0,0,1,2,0,False,False,S
False,False,350,45,0,51,0.1457142857142857,False,False,False,0,False,False,False,False,False,36,3,True,False,False,False,14,1,False,0.07142857142857142,False,False,False,False,2,2,1,0,0,0,1,0,False,False,S
False,True,2459,124,3,213,0.08662057747051646,False,False,False,0,False,False,False,False,False,33,1,True,False,False,False,45,7,False,0.15555555555555556,False,False,True,True,4,3,4,0,1,1,5,0,False,False,S
False,False,447,79,3,95,0.21252796420581654,False,False,False,0,False,False,False,False,False,27,2,True,False,False,False,14,2,False,0.14285714285714285,False,False,True,False,3,3,1,0,0,1,1,0,False,False,S
False,False,411,70,1,75,0.18248175182481752,False,False,False,0,False,False,False,False,False,30,2,True,False,False,False,27,3,False,0.1111111111111111,False,False,True,False,3,3,1,0,0,1,1,0,False,False,S
False,True,844,105,2,129,0.1528436018957346,False,False,False,0,False,False,False,False,False,28,1,True,False,False,False,45,12,False,0.26666666666666666,False,False,True,True,4,3,2,0,0,1,2,0,True,False,S
False,False,2002,221,13,434,0.21678321678321677,False,False,False,0,False,False,False,False,True,35,3,True,False,False,False,59,11,False,0.1864406779661017,False,False,False,False,3,3,2,0,0,0,2,0,False,False,S
False,False,12895,995,7,2796,0.21682822799534704,False,False,False,0,False,False,False,False,False,31,3,False,False,False,False,59,8,False,0.13559322033898305,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,True,1027,23,0,26,0.02531645569620253,False,False,False,0,False,False,False,False,False,23,2,True,False,False,False,36,1,False,0.027777777777777776,False,False,False,False,2,3,2,0,0,0,2,0,False,False,S
False,True,4007,275,2,418,0.1043174444721737,False,False,False,0,False,False,False,False,False,51,3,True,False,False,False,31,8,False,0.25806451612903225,False,True,False,False,3,6,15,8,4,0,19,0,False,False,S
False,False,872,118,3,149,0.17087155963302753,False,False,False,0,False,False,False,False,False,24,1,True,False,False,False,31,6,False,0.1935483870967742,False,False,False,False,3,4,3,0,0,0,3,0,False,False,S
True,True,11638,620,10,1598,0.13730881594775735,False,False,False,0,False,False,False,False,False,22,4,True,False,False,False,25,5,False,0.2,False,False,True,True,4,7,17,8,3,1,20,0,False,False,S
False,False,1872,219,5,366,0.1955128205128205,False,False,False,0,False,False,False,False,False,34,3,False,False,False,False,15,2,False,0.13333333333333333,False,False,False,False,2,2,1,0,0,0,1,0,False,False,S
False,False,677,78,2,82,0.12112259970457903,False,False,False,0,False,False,False,False,False,36,3,True,False,False,False,44,10,False,0.22727272727272727,False,True,False,False,3,4,7,0,0,0,7,0,False,False,S
False,False,1756,30,0,30,0.017084282460136675,False,False,False,0,False,False,False,False,False,28,1,False,False,False,False,47,6,True,0.1276595744680851,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,True,385,58,2,62,0.16103896103896104,False,False,False,0,False,False,False,False,False,38,3,True,False,False,False,29,3,False,0.10344827586206896,False,False,False,True,2,2,2,0,0,0,2,0,False,False,S
False,False,2913,284,1,407,0.13971850326124272,False,False,False,0,False,False,False,False,False,25,1,False,False,False,False,33,7,False,0.21212121212121213,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,True,5310,345,3,580,0.10922787193973635,False,False,False,0,False,False,False,False,False,36,2,True,False,False,False,56,10,False,0.17857142857142858,False,True,False,False,3,6,15,6,2,0,17,0,False,False,S
False,True,2467,204,5,291,0.1179570328334009,False,False,False,0,False,False,False,False,False,40,2,True,False,False,False,18,3,False,0.16666666666666666,False,True,False,True,3,5,11,4,3,0,14,0,True,False,S
True,True,7600,292,2,754,0.09921052631578947,False,False,False,0,False,False,False,False,False,18,3,True,False,False,False,45,5,False,0.1111111111111111,False,False,True,False,4,7,19,13,2,1,21,0,False,False,S
False,True,2224,132,3,168,0.07553956834532374,False,False,False,0,False,False,False,False,False,44,3,True,False,False,False,35,7,False,0.2,False,True,False,False,3,6,12,7,2,0,14,0,False,False,S
False,True,7236,434,9,763,0.10544499723604202,False,False,False,0,False,False,False,False,False,41,3,True,False,False,False,45,7,False,0.15555555555555556,False,True,False,False,2,3,2,0,3,0,5,0,False,False,S
False,False,580,79,1,109,0.1879310344827586,False,False,False,0,False,False,False,False,False,13,1,True,False,False,False,28,6,False,0.21428571428571427,False,False,False,False,3,2,2,0,0,0,2,0,False,False,S
False,False,344,24,0,25,0.07267441860465117,False,False,False,0,False,False,False,False,True,77,1,True,False,False,False,36,1,False,0.027777777777777776,False,False,False,False,2,3,1,0,2,0,3,0,False,False,S
False,True,1003,112,1,166,0.16550348953140578,False,False,False,0,False,False,False,False,False,18,1,True,False,False,False,26,6,False,0.23076923076923078,False,False,False,True,3,4,2,0,2,0,4,0,True,False,S
True,True,9655,416,2,966,0.10005178663904712,False,False,False,0,False,False,False,False,False,35,5,True,False,False,False,39,8,False,0.20512820512820512,False,False,True,False,4,6,20,13,2,1,22,0,False,False,S
False,False,874,117,3,148,0.16933638443935928,False,False,False,0,False,False,False,False,False,19,1,True,False,False,False,37,8,False,0.21621621621621623,False,False,False,False,3,4,3,0,0,0,3,0,False,False,S
False,True,3611,187,5,393,0.1088341179728607,False,False,False,0,False,False,False,False,False,39,3,True,False,False,False,9,1,False,0.1111111111111111,False,False,False,True,5,4,16,4,0,0,16,0,True,False,S
False,False,1208,17,0,17,0.014072847682119206,False,False,False,0,False,False,False,False,False,28,3,True,False,False,False,4,1,False,0.25,False,False,False,False,1,2,0,0,1,0,1,0,False,False,S
True,True,3715,257,3,359,0.09663526244952894,False,False,False,0,False,False,False,False,False,21,1,True,False,False,False,61,6,False,0.09836065573770492,False,True,False,True,3,2,1,1,2,0,3,0,False,False,S
False,False,484,74,2,81,0.16735537190082644,False,False,False,0,False,False,False,False,False,25,1,True,False,False,False,41,10,False,0.24390243902439024,False,False,True,False,4,3,2,0,0,1,2,0,False,False,S
False,True,578,48,1,53,0.09169550173010381,False,False,False,0,False,False,False,False,False,25,1,True,False,False,False,53,9,False,0.16981132075471697,False,False,True,True,4,4,3,1,2,1,5,0,True,False,S
False,False,483,12,0,12,0.024844720496894408,False,False,False,0,False,False,False,False,True,4,1,True,False,False,False,4,1,False,0.25,False,False,False,False,2,2,1,0,0,0,1,0,False,False,S
False,False,1825,234,7,345,0.18904109589041096,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,44,9,True,0.20454545454545456,False,False,True,False,4,2,2,0,0,1,2,0,False,False,S
False,True,2776,155,4,302,0.10878962536023054,False,False,False,0,False,False,False,False,False,29,2,True,False,False,False,26,4,False,0.15384615384615385,False,False,True,True,4,4,4,0,1,1,5,0,True,False,S
False,True,4903,272,3,453,0.0923924128084846,False,False,False,0,False,False,False,False,True,23,1,True,False,False,False,38,8,False,0.21052631578947367,False,True,False,False,3,4,8,1,3,0,11,0,False,False,S
False,False,1562,182,2,212,0.1357234314980794,False,False,False,0,False,False,False,False,False,37,2,True,False,False,False,47,12,False,0.2553191489361702,False,False,False,False,2,2,1,0,3,0,4,0,False,False,S
False,False,1326,155,1,229,0.1726998491704374,False,False,False,0,False,False,False,False,False,35,1,True,False,False,False,21,2,False,0.09523809523809523,False,True,False,False,5,5,3,0,0,0,3,0,False,False,S
True,True,7174,198,2,572,0.07973236688040145,False,False,False,0,False,False,False,False,True,97,4,True,False,False,False,65,10,False,0.15384615384615385,False,False,False,True,3,5,37,14,3,0,40,0,True,False,S
False,True,1030,68,2,75,0.07281553398058252,False,False,False,0,False,False,False,False,True,26,1,True,False,False,False,33,7,False,0.21212121212121213,False,False,False,False,1,5,3,1,7,0,10,0,False,False,S
False,False,572,65,6,69,0.12062937062937062,False,False,False,0,False,False,False,False,False,35,4,True,False,False,False,54,11,False,0.2037037037037037,False,True,False,False,3,4,5,0,0,0,5,0,False,False,S
False,False,2309,254,11,408,0.17669987007362495,False,False,False,0,False,False,False,False,False,25,2,True,False,False,False,14,4,True,0.2857142857142857,False,False,True,False,4,3,6,0,0,1,6,0,False,False,S
False,True,2082,163,2,220,0.10566762728146013,False,False,False,0,False,False,False,False,False,34,3,True,False,False,False,43,10,False,0.23255813953488372,False,True,False,True,6,4,9,6,0,0,9,0,True,False,S
False,False,904,16,0,16,0.017699115044247787,False,False,False,0,False,False,False,False,False,15,1,False,False,False,False,30,5,False,0.16666666666666666,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,False,2306,270,6,412,0.17866435385949697,False,False,False,0,False,False,False,False,False,23,1,True,False,False,False,23,3,False,0.13043478260869565,False,False,False,False,2,3,1,0,3,0,4,0,False,False,S
False,False,2028,34,0,34,0.016765285996055226,False,False,False,0,False,False,False,False,False,30,1,False,False,False,False,16,4,False,0.25,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,True,980,106,1,137,0.13979591836734695,False,False,False,0,False,False,False,False,False,21,1,False,False,False,False,18,3,False,0.16666666666666666,False,True,False,False,4,2,0,0,1,0,1,0,False,False,S
True,True,4301,312,3,493,0.11462450592885376,False,False,False,0,False,False,False,False,True,38,3,True,False,False,False,16,3,False,0.1875,False,False,False,False,3,3,1,0,0,0,1,0,False,False,S
False,False,5482,552,15,978,0.17840204304998175,False,False,False,0,False,False,False,False,False,29,1,False,False,False,False,24,4,False,0.16666666666666666,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,569,40,0,45,0.07908611599297012,False,False,False,0,False,False,False,False,False,33,3,True,False,False,False,19,3,False,0.15789473684210525,False,False,False,False,3,3,1,0,4,0,5,0,False,False,S
False,False,183,21,2,26,0.14207650273224043,False,False,False,0,False,False,False,False,False,13,1,True,False,False,False,39,7,False,0.1794871794871795,False,False,False,False,3,2,1,0,0,0,1,0,False,False,S
True,True,8113,342,6,836,0.10304449648711944,False,False,False,0,False,False,False,False,False,37,5,True,False,False,False,29,5,False,0.1724137931034483,False,True,True,False,4,6,24,17,4,1,28,0,False,False,S
False,False,207,32,0,35,0.16908212560386474,False,False,False,0,False,False,False,False,False,47,3,True,False,False,False,28,8,False,0.2857142857142857,False,False,False,False,2,3,1,0,0,0,1,0,False,False,S
False,False,1573,190,3,282,0.1792752701843611,False,False,False,0,False,False,False,False,False,29,3,True,False,False,False,32,7,False,0.21875,False,False,False,False,2,3,1,0,0,0,1,0,False,False,S
False,True,2875,143,1,246,0.08556521739130435,False,False,False,0,False,False,False,False,True,26,1,True,False,False,False,55,10,False,0.18181818181818182,False,False,False,True,0,3,1,0,1,0,2,0,False,False,S
False,False,847,104,2,126,0.1487603305785124,False,False,False,0,False,False,False,False,False,29,2,True,False,False,False,19,5,False,0.2631578947368421,False,False,False,False,3,3,1,0,0,0,1,0,False,False,S
False,True,3244,133,3,300,0.09247842170160296,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,24,3,False,0.125,False,False,True,True,4,3,3,0,1,1,4,0,False,False,S
False,False,385,54,0,58,0.15064935064935064,False,False,False,0,False,False,False,False,False,27,1,True,False,False,False,43,7,False,0.16279069767441862,False,False,False,False,2,2,2,0,0,0,2,0,False,False,S
False,True,3369,144,1,212,0.06292668447610567,False,False,False,0,False,False,False,False,False,44,3,True,False,False,False,57,10,False,0.17543859649122806,False,True,False,False,3,8,19,16,3,0,22,0,False,False,S
False,True,2917,175,1,292,0.10010284538909839,False,False,False,0,False,False,False,False,False,28,2,True,False,False,False,20,5,False,0.25,False,False,True,True,4,3,24,19,3,1,27,0,True,False,S
False,True,4449,267,3,437,0.09822432007192627,False,False,False,0,False,False,False,False,False,18,1,True,False,False,False,37,8,False,0.21621621621621623,False,False,False,True,2,3,2,0,2,0,4,0,False,False,S
False,False,1348,180,3,302,0.22403560830860533,False,False,False,0,False,False,False,False,False,20,1,True,False,False,False,51,7,False,0.13725490196078433,False,False,True,False,4,2,2,0,0,1,2,0,False,False,S
